#       r             R(r)          X(r)=rR(r)          Veff
  1.595863e+01   1.115621e-03   1.780379e-02  -1.174710e-01
  1.611902e+01   1.039997e-03   1.676373e-02  -1.163795e-01
  1.628102e+01   9.687182e-04   1.577172e-02  -1.152973e-01
  1.644465e+01   9.015904e-04   1.482633e-02  -1.142244e-01
  1.660992e+01   8.384245e-04   1.392616e-02  -1.131607e-01
  1.677685e+01   7.790368e-04   1.306978e-02  -1.121061e-01
  1.694546e+01   7.232488e-04   1.225578e-02  -1.110607e-01
  1.711577e+01   6.708871e-04   1.148275e-02  -1.100242e-01
  1.728778e+01   6.217840e-04   1.074927e-02  -1.089967e-01
  1.746153e+01   5.757769e-04   1.005394e-02  -1.079781e-01
  1.763702e+01   5.327086e-04   9.395391e-03  -1.069683e-01
  1.781427e+01   4.924274e-04   8.772236e-03  -1.059673e-01
  1.799331e+01   4.547869e-04   8.183121e-03  -1.049750e-01
  1.817415e+01   4.196458e-04   7.626703e-03  -1.039913e-01
  1.835680e+01   3.868683e-04   7.101664e-03  -1.030162e-01
  1.854129e+01   3.563238e-04   6.606702e-03  -1.020497e-01
  1.872763e+01   3.278868e-04   6.140543e-03  -1.010916e-01
  1.891585e+01   3.014368e-04   5.701933e-03  -1.001419e-01
  1.910595e+01   2.768586e-04   5.289647e-03  -9.920052e-02
  1.929797e+01   2.540415e-04   4.902486e-03  -9.826743e-02
  1.949192e+01   2.328801e-04   4.539281e-03  -9.734256e-02
  1.968782e+01   2.132735e-04   4.198889e-03  -9.642584e-02
  1.988568e+01   1.951254e-04   3.880202e-03  -9.551722e-02
  2.008554e+01   1.783442e-04   3.582138e-03  -9.461663e-02
  2.028740e+01   1.628425e-04   3.303652e-03  -9.372402e-02
  2.049129e+01   1.485376e-04   3.043726e-03  -9.283932e-02
  2.069723e+01   1.353505e-04   2.801380e-03  -9.196247e-02
  2.090524e+01   1.232065e-04   2.575662e-03  -9.109343e-02
  2.111534e+01   1.120350e-04   2.365658e-03  -9.023211e-02
  2.132756e+01   1.017690e-04   2.170483e-03  -8.937848e-02
  2.154190e+01   9.234507e-05   1.989289e-03  -8.853246e-02
  2.175840e+01   8.370364e-05   1.821257e-03  -8.769401e-02
  2.197708e+01   7.578836e-05   1.665607e-03  -8.686305e-02
  2.219795e+01   6.854620e-05   1.521585e-03  -8.603954e-02
  2.242104e+01   6.192732e-05   1.388475e-03  -8.522342e-02
  2.264638e+01   5.588488e-05   1.265590e-03  -8.441463e-02
  2.287398e+01   5.037494e-05   1.152275e-03  -8.361310e-02
  2.310387e+01   4.535635e-05   1.047907e-03  -8.281879e-02
  2.333606e+01   4.079059e-05   9.518918e-04  -8.203164e-02
  2.357060e+01   3.664165e-05   8.636656e-04  -8.125160e-02
  2.380748e+01   3.287595e-05   7.826937e-04  -8.047859e-02
  2.404675e+01   2.946216e-05   7.084694e-04  -7.971258e-02
  2.428843e+01   2.637113e-05   6.405133e-04  -7.895350e-02
  2.453253e+01   2.357575e-05   5.783727e-04  -7.820129e-02
  2.477909e+01   2.105084e-05   5.216206e-04  -7.745591e-02
  2.502812e+01   1.877307e-05   4.698547e-04  -7.671730e-02
  2.527966e+01   1.672083e-05   4.226968e-04  -7.598541e-02
  2.553372e+01   1.487412e-05   3.797916e-04  -7.526017e-02
  2.579034e+01   1.321449e-05   3.408061e-04  -7.454154e-02
  2.604954e+01   1.172490e-05   3.054283e-04  -7.382946e-02
  2.631134e+01   1.038969e-05   2.733667e-04  -7.312388e-02
  2.657577e+01   9.194425e-06   2.443489e-04  -7.242474e-02
  2.684286e+01   8.125862e-06   2.181214e-04  -7.173200e-02
  2.711264e+01   7.171854e-06   1.944479e-04  -7.104560e-02
  2.738513e+01   6.321275e-06   1.731089e-04  -7.036549e-02
  2.766035e+01   5.563950e-06   1.539008e-04  -6.969161e-02
  2.793834e+01   4.890589e-06   1.366349e-04  -6.902392e-02
  2.821913e+01   4.292718e-06   1.211368e-04  -6.836236e-02
  2.850273e+01   3.762625e-06   1.072451e-04  -6.770688e-02
