#       r             V(r)
  3.73502728e-03  -5.35471313e+02
  3.77256586e-03  -5.30143188e+02
  3.81047977e-03  -5.24868286e+02
  3.84877669e-03  -5.19645630e+02
  3.88745661e-03  -5.14475220e+02
  3.92652676e-03  -5.09356018e+02
  3.96598829e-03  -5.04287933e+02
  4.00584796e-03  -4.99270081e+02
  4.04610625e-03  -4.94302399e+02
  4.08677151e-03  -4.89383850e+02
  4.12784331e-03  -4.84514526e+02
  4.16932954e-03  -4.79693420e+02
  4.21123113e-03  -4.74920502e+02
  4.25355555e-03  -4.70194855e+02
  4.29630326e-03  -4.65516479e+02
  4.33948310e-03  -4.60884399e+02
  4.38309647e-03  -4.56298431e+02
  4.42714617e-03  -4.51758301e+02
  4.47164103e-03  -4.47263092e+02
  4.51658061e-03  -4.42812866e+02
  4.56197374e-03  -4.38406738e+02
  4.60782135e-03  -4.34044617e+02
  4.65413183e-03  -4.29725677e+02
  4.70090564e-03  -4.25449921e+02
  4.74815164e-03  -4.21216553e+02
  4.79586981e-03  -4.17025513e+02
  4.84407041e-03  -4.12875916e+02
  4.89275297e-03  -4.08767822e+02
  4.94192680e-03  -4.04700439e+02
  4.99159284e-03  -4.00673706e+02
  5.04176039e-03  -3.96686829e+02
  5.09242993e-03  -3.92739807e+02
  5.14361076e-03  -3.88831909e+02
  5.19530335e-03  -3.84963074e+02
  5.24751842e-03  -3.81132538e+02
  5.30025549e-03  -3.77340302e+02
  5.35352528e-03  -3.73585602e+02
  5.40732779e-03  -3.69868469e+02
  5.46167372e-03  -3.66188110e+02
  5.51656261e-03  -3.62544617e+02
  5.57200657e-03  -3.58937134e+02
  5.62800746e-03  -3.55365570e+02
  5.68456855e-03  -3.51829681e+02
  5.74170053e-03  -3.48328857e+02
  5.79940435e-03  -3.44863007e+02
  5.85769070e-03  -3.41431488e+02
  5.91655960e-03  -3.38034271e+02
  5.97602362e-03  -3.34670685e+02
  6.03608228e-03  -3.31340759e+02
  6.09674724e-03  -3.28043793e+02
  6.15801895e-03  -3.24779785e+02
  6.21990953e-03  -3.21548096e+02
  6.28241897e-03  -3.18348724e+02
  6.34555984e-03  -3.15181030e+02
  6.40933216e-03  -3.12044983e+02
  6.47374848e-03  -3.08940033e+02
  6.53880928e-03  -3.05866089e+02
  6.60452666e-03  -3.02822601e+02
  6.67090155e-03  -2.99809540e+02
  6.73794700e-03  -2.96826324e+02
  6.80566300e-03  -2.93872925e+02
  6.87406259e-03  -2.90948761e+02
  6.94314623e-03  -2.88053864e+02
  7.01292744e-03  -2.85187622e+02
  7.08340667e-03  -2.82350006e+02
  7.15459790e-03  -2.79540527e+02
  7.22650113e-03  -2.76759094e+02
  7.29913032e-03  -2.74005249e+02
  7.37248966e-03  -2.71278778e+02
  7.44658243e-03  -2.68579590e+02
  7.52142351e-03  -2.65907104e+02
  7.59701338e-03  -2.63261353e+02
  7.67336600e-03  -2.60641815e+02
  7.75048276e-03  -2.58048431e+02
  7.82837812e-03  -2.55480759e+02
  7.90705252e-03  -2.52938751e+02
  7.98652228e-03  -2.50421890e+02
  8.06678552e-03  -2.47930237e+02
  8.14785995e-03  -2.45463226e+02
  8.22974555e-03  -2.43020874e+02
  8.31245724e-03  -2.40602737e+02
  8.39599688e-03  -2.38208755e+02
  8.48038029e-03  -2.35838486e+02
  8.56560748e-03  -2.33491898e+02
  8.65169521e-03  -2.31168564e+02
  8.73864442e-03  -2.28868454e+02
  8.82647093e-03  -2.26591125e+02
  8.91517662e-03  -2.24336548e+02
  9.00477730e-03  -2.22104324e+02
  9.09527484e-03  -2.19894394e+02
  9.18668602e-03  -2.17706360e+02
  9.27901082e-03  -2.15540222e+02
  9.37226880e-03  -2.13395508e+02
  9.46646370e-03  -2.11272141e+02
  9.56160109e-03  -2.09169983e+02
  9.65769868e-03  -2.07088669e+02
  9.75475833e-03  -2.05028137e+02
  9.85279679e-03  -2.02988052e+02
  9.95181687e-03  -2.00968323e+02
  1.00518363e-02  -1.98968628e+02
  1.01528568e-02  -1.96988892e+02
  1.02548972e-02  -1.95028778e+02
  1.03579583e-02  -1.93088242e+02
  1.04620596e-02  -1.91166946e+02
  1.05672022e-02  -1.89264862e+02
  1.06734065e-02  -1.87381607e+02
  1.07806735e-02  -1.85517166e+02
  1.08890235e-02  -1.83671204e+02
  1.09984577e-02  -1.81843674e+02
  1.11089963e-02  -1.80034271e+02
  1.12206414e-02  -1.78242935e+02
  1.13334125e-02  -1.76469360e+02
  1.14473132e-02  -1.74713486e+02
  1.15623632e-02  -1.72975021e+02
  1.16785634e-02  -1.71253937e+02
  1.17959380e-02  -1.69549896e+02
  1.19144861e-02  -1.67862885e+02
  1.20342318e-02  -1.66192581e+02
  1.21551799e-02  -1.64538910e+02
  1.22773387e-02  -1.62901749e+02
  1.24007305e-02  -1.61280823e+02
  1.25253573e-02  -1.59676086e+02
  1.26512423e-02  -1.58087234e+02
  1.27783855e-02  -1.56514297e+02
  1.29068140e-02  -1.54956909e+02
  1.30365258e-02  -1.53415100e+02
  1.31675489e-02  -1.51888550e+02
  1.32998815e-02  -1.50377274e+02
  1.34335505e-02  -1.48880966e+02
  1.35685569e-02  -1.47399612e+02
  1.37049258e-02  -1.45932938e+02
  1.38426591e-02  -1.44480911e+02
  1.39817838e-02  -1.43043259e+02
  1.41222989e-02  -1.41619995e+02
  1.42642343e-02  -1.40210815e+02
  1.44075882e-02  -1.38815735e+02
  1.45523902e-02  -1.37434464e+02
  1.46986404e-02  -1.36067001e+02
  1.48463678e-02  -1.34713089e+02
  1.49955722e-02  -1.33372711e+02
  1.51462844e-02  -1.32045593e+02
  1.52985025e-02  -1.30731750e+02
  1.54522592e-02  -1.29430908e+02
  1.56075601e-02  -1.28143021e+02
  1.57644153e-02  -1.26868011e+02
  1.59228537e-02  -1.25605629e+02
  1.60828773e-02  -1.24355858e+02
  1.62445158e-02  -1.23118477e+02
  1.64077729e-02  -1.21893448e+02
  1.65726766e-02  -1.20680565e+02
  1.67392306e-02  -1.19479805e+02
  1.69074666e-02  -1.18290932e+02
  1.70773864e-02  -1.17113937e+02
  1.72490198e-02  -1.15948616e+02
  1.74223706e-02  -1.14794937e+02
  1.75974723e-02  -1.13652687e+02
  1.77743267e-02  -1.12521843e+02
  1.79529656e-02  -1.11402206e+02
  1.81333907e-02  -1.10293770e+02
  1.83156393e-02  -1.09196297e+02
  1.84997134e-02  -1.08109779e+02
  1.86856389e-02  -1.07034073e+02
  1.88734327e-02  -1.05969063e+02
  1.90631133e-02  -1.04914658e+02
  1.92547012e-02  -1.03870735e+02
  1.94482133e-02  -1.02837212e+02
  1.96436718e-02  -1.01813957e+02
  1.98410936e-02  -1.00800896e+02
  2.00404990e-02  -9.97979126e+01
  2.02419087e-02  -9.88049088e+01
  2.04453431e-02  -9.78217850e+01
  2.06508227e-02  -9.68484421e+01
  2.08583660e-02  -9.58847885e+01
  2.10679974e-02  -9.49307098e+01
  2.12797336e-02  -9.39861374e+01
  2.14935988e-02  -9.30509567e+01
  2.17096116e-02  -9.21250916e+01
  2.19277963e-02  -9.12084351e+01
  2.21481752e-02  -9.03008957e+01
  2.23707668e-02  -8.94023895e+01
  2.25955974e-02  -8.85128174e+01
  2.28226874e-02  -8.76320953e+01
  2.30520628e-02  -8.67601318e+01
  2.32837405e-02  -8.58968506e+01
  2.35177465e-02  -8.50421600e+01
  2.37541031e-02  -8.41959839e+01
  2.39928346e-02  -8.33582230e+01
  2.42339671e-02  -8.25287933e+01
  2.44775228e-02  -8.17076111e+01
  2.47235261e-02  -8.08946075e+01
  2.49720011e-02  -8.00896988e+01
  2.52229739e-02  -7.92927933e+01
  2.54764687e-02  -7.85038147e+01
  2.57325098e-02  -7.77226944e+01
